"","expedition_id","peak_id","peak_name","year","season","basecamp_date","highpoint_date","termination_date","termination_reason","highpoint_metres","members","member_deaths","hired_staff","hired_staff_deaths","trekking_agency","climb_success","death_on_exp","height_metres"
"1863","ANN180401","ANN1","Annapurna I",1980,"Winter",1981-01-27,1981-02-13,NA,"Bad weather (storms, high winds)",6700,1,0,2,0,NA,0,0,8091
"1864","BARU80401","BARU","Baruntse",1980,"Winter",1980-11-17,1980-12-15,1980-12-29,"Success (main peak)",7152,12,0,7,0,NA,1,0,7152
"1865","MAKA80401","MAKA","Makalu",1980,"Winter",1980-12-10,1981-01-15,1981-01-23,"Bad weather (storms, high winds)",7350,6,0,4,0,NA,0,0,8485
"1866","GAN480401","GAN4","Ganesh IV",1980,"Winter",1980-12-30,1981-01-10,1981-01-13,"Bad weather (storms, high winds)",5650,4,0,1,0,NA,0,0,7104
"1867","BARU80102","BARU","Baruntse",1980,"Spring",NA,1980-04-28,NA,"Accident (death or serious injury)",6900,6,2,1,0,"Great Himalayan Adventure (GHA)",0,1,7152
"1868","YALU80101","YALU","Yalung Kang",1980,"Spring",1980-04-01,1980-05-04,1980-05-13,"Success (main peak)",8505,10,2,6,0,"Sherpa Cooperative Trekking (SCT)",1,1,8505
"1869","GAN480301","GAN4","Ganesh IV",1980,"Autumn",1980-09-25,1980-10-11,1980-10-14,"Success (main peak)",7104,9,0,2,0,NA,1,0,7104
"1870","LHOT80101","LHOT","Lhotse",1980,"Spring",1980-03-22,1980-04-26,NA,"Accident (death or serious injury)",8000,3,1,0,0,NA,0,1,8516
"1871","MAK288302","MAK2","Makalu II",1988,"Autumn",1988-09-05,1988-09-28,NA,"Success (main peak)",7678,11,0,0,0,"Rover Treks",1,0,7678
"1872","MAK288301","MAK2","Makalu II",1988,"Autumn",1988-09-02,1988-09-27,1988-10-14,"Success (main peak)",7678,11,0,4,0,"Kunga",1,0,7678
"1873","LHOT88302","LHOT","Lhotse",1988,"Autumn",1988-09-09,1988-09-28,NA,"Success (main peak)",8516,8,0,4,0,"Mountain Travel",1,0,8516
"1874","KANG80102","KANG","Kangchenjunga",1980,"Spring",1980-04-06,1980-05-15,NA,"Success (main peak)",8586,20,0,10,0,NA,1,0,8586
"1875","KABN94101","KABN","Kabru North",1994,"Spring",NA,1994-05-10,NA,"Success (main peak)",7338,28,0,0,0,"None",1,0,7338
"1876","ANN180101","ANN1","Annapurna I",1980,"Spring",1980-04-06,1980-05-01,1980-05-11,"Success (main peak)",8091,8,0,5,0,NA,1,0,8091
"1877","DHA180101","DHA1","Dhaulagiri I",1980,"Spring",1980-04-07,1980-05-13,NA,"Success (main peak)",8167,17,0,9,0,NA,1,0,8167
"1878","FANG80101","FANG","Fang",1980,"Spring",1980-04-12,1980-05-17,1980-05-23,"Success (main peak)",7647,7,0,4,0,NA,1,0,7647
"1879","TILI80101","TILI","Tilicho",1980,"Spring",1980-04-22,1980-05-01,NA,"Bad weather (storms, high winds)",6100,5,0,3,0,NA,0,0,7134
"1880","GAUR80101","GAUR","Gaurishankar",1980,"Spring",1980-03-14,1980-04-11,1980-04-15,"Bad weather (storms, high winds)",6333,10,0,4,0,NA,0,0,7135
